"","Div","Date","Day","Month","HomeTeam","AwayTeam","FTHG","FTAG","Result","Hpoints","Apoints","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","season","UtcDate","HTop6","ATop6","HLast5GamesGoals","ALast5GamesGoals","HLast3GamesGoalsVSOpposition","ALast3GamesGoalsVSOpposition","HLast5GamesGoalsConceded","ALast5GamesGoalsConceded","HForm","AForm","HomeGoalsPredictionTree","AwayGoalsPredictionTree","HomeGoalsPredictionReg","AwayGoalsPredictionReg"
"3144","E0","04/11/17","Wednesday","November","Stoke","Leicester",2,2,"D",1,1,"D",1,1,"D","R Madley",11,14,7,4,12,8,4,10,0,0,0,0,"17/18",1509778800,0,0,1.2,1.2,1.33333333333333,1.66666666666667,1.8,1.6,7,5,1.48,1.09,1,1
"3147","E0","05/11/17","Thursday","November","Chelsea","Man United",1,0,"H",3,0,"H",0,0,"D","A Taylor",18,10,8,2,16,20,4,7,1,3,0,0,"17/18",1509865200,1,1,1.6,1.6,2,0.333333333333333,1.2,0.8,7,8,1.7,1.18,2,1
"3149","E0","05/11/17","Thursday","November","Man City","Arsenal",3,1,"H",3,0,"H",1,0,"H","M Oliver",9,6,5,3,15,15,5,5,1,6,0,0,"17/18",1509865200,1,1,4.2,1.2,1.33333333333333,1.66666666666667,0.6,1.8,13,4,1.7,1.18,3,1
"3150","E0","05/11/17","Thursday","November","Tottenham","Crystal Palace",1,0,"H",3,0,"H",0,0,"D","K Friend",12,11,2,3,6,7,10,9,0,2,0,0,"17/18",1509865200,1,0,1.4,0,0.666666666666667,0,0.8,2.4,8,0,2.26,0.73,2,1
"3151","E0","18/11/17","Saturday","November","Arsenal","Tottenham",2,0,"H",3,0,"H",2,0,"H","M Dean",14,14,5,4,11,16,7,4,4,1,0,0,"17/18",1510992000,1,1,2.6,2.4,1,1,0.8,0.6,15,12,1.7,1.18,2,1
"3154","E0","18/11/17","Saturday","November","Crystal Palace","Everton",2,2,"D",1,1,"D",2,2,"D","A Taylor",16,8,7,5,9,26,9,4,2,3,0,0,"17/18",1510992000,0,0,0.8,0.4,0,0.666666666666667,1.8,2,4,2,1.48,1.09,1,1
"3155","E0","18/11/17","Saturday","November","Leicester","Man City",0,2,"A",0,3,"A",0,1,"A","G Scott",2,12,0,4,8,10,1,7,1,1,0,0,"17/18",1510992000,0,1,1.6,2.8,1.33333333333333,1,1.2,0.6,7,15,1.06,1.81,1,2
"3157","E0","18/11/17","Saturday","November","Man United","Newcastle",4,1,"H",3,0,"H",2,1,"H","C Pawson",16,12,7,5,10,9,11,4,1,1,0,0,"17/18",1510992000,1,0,3,0.6,1,0.666666666666667,0,1,15,4,2.26,0.73,3,1
"3158","E0","18/11/17","Saturday","November","West Brom","Chelsea",0,4,"A",0,3,"A",0,3,"A","J Moss",7,11,2,7,13,12,3,4,2,3,0,0,"17/18",1510992000,0,1,1.2,2,1.66666666666667,1.33333333333333,1.2,0.8,6,12,1.06,1.81,1,2
"3161","E0","24/11/17","Sunday","November","West Ham","Leicester",1,1,"D",1,1,"D",1,1,"D","M Atkinson",8,7,4,2,9,12,5,5,1,1,0,0,"17/18",1511510400,0,0,1.2,1,1.66666666666667,1.66666666666667,2,1.2,6,6,1.48,1.09,1,1
"3162","E0","25/11/17","Monday","November","Crystal Palace","Stoke",2,1,"H",3,0,"H",0,0,"D","M Dean",10,9,5,3,9,5,5,2,1,1,0,0,"17/18",1511596800,0,0,1.2,1.4,2.33333333333333,1,1.6,2.4,5,5,1.48,1.09,1,1
"3163","E0","25/11/17","Monday","November","Liverpool","Chelsea",1,1,"D",1,1,"D",0,0,"D","M Oliver",16,11,4,3,10,7,7,8,0,0,0,0,"17/18",1511596800,1,1,2.2,2.4,1,1.33333333333333,0.2,0.6,11,12,1.7,1.18,2,1
"3167","E0","25/11/17","Monday","November","Tottenham","West Brom",1,1,"D",1,1,"D",0,1,"A","M Jones",24,5,5,2,10,13,8,0,1,4,0,0,"17/18",1511596800,1,0,1.4,0.4,1.66666666666667,0.666666666666667,0.4,1.6,11,1,2.26,0.73,2,1
"3168","E0","26/11/17","Tuesday","November","Burnley","Arsenal",0,1,"A",0,3,"A",0,0,"D","L Mason",8,17,2,2,8,14,5,5,2,0,0,0,"17/18",1511683200,0,1,1,1.4,0.333333333333333,1,0.2,2.2,11,4,1.06,1.81,1,2
"3170","E0","26/11/17","Tuesday","November","Southampton","Everton",4,1,"H",3,0,"H",1,1,"D","K Friend",17,5,5,2,6,13,7,2,0,0,0,0,"17/18",1511683200,0,0,0.6,0.6,1.33333333333333,1,1.2,2.2,4,2,1.48,1.09,1,1
"3172","E0","28/11/17","Friday","November","Leicester","Tottenham",2,1,"H",3,0,"H",2,0,"H","A Taylor",7,18,4,6,7,10,4,9,1,2,0,0,"17/18",1511856000,0,1,1.2,2,1,3,1.6,1,4,9,1.06,1.81,1,2
"3174","E0","28/11/17","Friday","November","West Brom","Newcastle",2,2,"D",1,1,"D",1,0,"H","L Probert",8,14,4,4,13,12,1,6,0,0,0,0,"17/18",1511856000,0,0,1,0.8,0.666666666666667,0.666666666666667,2,1.6,3,4,1.48,1.09,1,1
"3177","E0","29/11/17","Saturday","November","Chelsea","Swansea",1,0,"H",3,0,"H",0,0,"D","N Swarbrick",21,2,10,0,10,7,15,1,1,0,0,0,"17/18",1511942400,1,0,1.4,0.6,3,1.66666666666667,0.6,1,10,4,2.26,0.73,2,1
"3178","E0","29/11/17","Saturday","November","Everton","West Ham",4,0,"H",3,0,"H",2,0,"H","M Oliver",8,7,5,3,16,6,2,6,2,1,0,0,"17/18",1511942400,0,0,1.4,0.6,2,1.33333333333333,2.4,1.6,6,3,1.48,1.09,1,1
"3179","E0","29/11/17","Saturday","November","Man City","Southampton",2,1,"H",3,0,"H",0,0,"D","P Tierney",26,7,12,2,12,11,6,5,1,1,0,0,"17/18",1511942400,1,0,4.6,0.6,2,0.666666666666667,0.6,1.2,15,5,2.26,0.73,3,1
"3180","E0","29/11/17","Saturday","November","Stoke","Liverpool",0,3,"A",0,3,"A",0,1,"A","M Atkinson",10,14,1,7,8,10,5,9,1,5,0,0,"17/18",1511942400,0,1,1.4,1.8,2.33333333333333,1.33333333333333,2.2,2.6,5,7,1.06,1.81,1,2
"3181","E0","02/12/17","Tuesday","December","Arsenal","Man United",1,3,"A",0,3,"A",0,2,"A","A Marriner",33,8,15,4,11,10,12,1,3,2,0,1,"17/18",1512201600,1,1,2.6,1.2,2,0.666666666666667,0.2,1,15,7,1.7,1.18,2,1
